Date Sampled,doy,Sample,Rep,NEP,GPP,Resp
8/15/2017,227,H,A,0.159223002,0.203386372,-0.04416337
8/15/2017,227,H,B,0.068667446,0.159225869,-0.090558422
8/15/2017,227,H,C,0.181861891,0.327559848,-0.145697958
8/15/2017,227,So,A,0.077723002,0.213948711,-0.136225709
8/15/2017,227,So,B,-0.03534907,0.07690605,-0.112255121
8/15/2017,227,So,C,0.010754009,0.150974817,-0.140220807
8/15/2017,227,Sh,A,0.080582651,0.231172415,-0.150589764
8/15/2017,227,Sh,B,0.159824034,0.24042334,-0.080599306
8/15/2017,227,Sh,C,0,0.083842107,-0.083842107
8/15/2017,227,F,A,0.086081976,0.086081976,0
8/15/2017,227,F,B,0.05793349,0.05793349,0
8/15/2017,227,F,C,0.107391861,0.16175575,-0.054363889
8/15/2017,227,T,A,-0.032907989,0.0195549,-0.052462889
8/15/2017,227,T,B,-0.015605359,0.074546947,-0.090152306
8/15/2017,227,T,C,0,0.038515619,-0.038515619
8/18/2017,230,H,A,0.327611321,0.239932018,0.087679303
8/18/2017,230,H,B,0.219425481,0.155161408,0.064264072
8/18/2017,230,H,C,0.052273484,0.011234274,0.041039209
8/18/2017,230,So,A,-0.083313048,0.101912675,-0.185225723
8/18/2017,230,So,B,0.086328427,0.169527022,-0.083198596
8/18/2017,230,So,C,-0.06493455,0.038502785,-0.103437335
8/18/2017,230,Sh,A,0.123861321,0.00134983,0.122511491
8/18/2017,230,Sh,B,-0.062548253,-0.063296796,0.000748543
8/18/2017,230,Sh,C,-0.072770775,0.023891041,-0.096661816
8/18/2017,230,F,A,-0.682719257,-0.280023278,-0.402695979
8/18/2017,230,F,B,-0.720976545,-0.169798785,-0.55117776
8/18/2017,230,F,C,-0.496247374,-0.136378794,-0.359868581
8/18/2017,230,T,A,-0.235985712,-0.043366524,-0.192619187
8/18/2017,230,T,B,-0.337397182,-0.27166002,-0.065737162
8/18/2017,230,T,C,-0.380969339,0.001935138,-0.382904477
8/22/2017,234,H,A,0.220942121,0.473683382,-0.252741261
8/22/2017,234,H,B,0.280286781,0.376980813,-0.096694032
8/22/2017,234,H,C,-0.098106076,0.172293019,-0.270399095
8/22/2017,234,So,A,-0.094536332,0.072838389,-0.167374721
8/22/2017,234,So,B,-0.064079416,0.050087322,-0.114166738
8/22/2017,234,So,C,-0.146166707,0.118307408,-0.264474115
8/22/2017,234,Sh,A,-0.085899855,0,-0.03799055
8/22/2017,234,Sh,B,0.05699911,0.068222536,-0.011223427
8/22/2017,234,Sh,C,-0.051613672,0,-0.034972529
8/22/2017,234,F,A,-0.577122721,0.458328033,-1.035450754
8/22/2017,234,F,B,-0.811231076,0,-0.66171504
8/22/2017,234,F,C,-0.870946403,0.125558304,-0.996504707
8/22/2017,234,T,A,-1.023510033,0,-0.438960654
8/22/2017,234,T,B,-0.456381595,0,-0.398861707
8/22/2017,234,T,C,-0.996445442,0.328221535,-1.324666977
8/25/2017,237,H,A,0.745717345,1.092043147,-0.346325802
8/25/2017,237,H,B,0.642986253,0.740589766,-0.097603513
8/25/2017,237,H,C,0.796867973,1.114521486,-0.317653513
8/25/2017,237,So,A,0.441360499,0.730570187,-0.289209688
8/25/2017,237,So,B,0.593538922,0.757506721,-0.163967799
8/25/2017,237,So,C,0.393556851,0.393556851,0
8/25/2017,237,Sh,A,0.645512427,0.645512427,0
8/25/2017,237,Sh,B,0.219641526,0.256408818,-0.036767293
8/25/2017,237,Sh,C,-0.077598981,0.055428154,-0.133027135
8/25/2017,237,F,A,-0.1773949,0.551593907,-0.728988807
8/25/2017,237,F,B,-0.826068369,0,-0.489282925
8/25/2017,237,F,C,-1.00786872,0,-0.651739841
8/25/2017,237,T,A,-0.479643692,0.323624152,-0.803267845
8/25/2017,237,T,B,-0.877277963,0.599829751,-1.477107714
8/25/2017,237,T,C,-0.812941771,0.449522262,-1.262464033
8/29/2017,241,H,A,0.572283986,0.651647178,-0.079363191
8/29/2017,241,H,B,0.049324095,0.049324095,0
8/29/2017,241,H,C,0.685958333,0.686004456,-4.61223E-05
8/29/2017,241,So,A,0.069703947,0.018435684,0.051268263
8/29/2017,241,So,B,0.232666485,0.541210828,-0.308544343
8/29/2017,241,So,C,0.001756466,0.001756466,
8/29/2017,241,Sh,A,0.083511266,0.083511266,0
8/29/2017,241,Sh,B,0.138445513,0.295207712,-0.156762199
8/29/2017,241,Sh,C,0.088869681,0.069754657,0.019115024
8/29/2017,241,F,A,-0.426493644,0.141748228,-0.568241872
8/29/2017,241,F,B,-0.633697034,0.117720143,-0.751417177
8/29/2017,241,F,C,-0.555995763,0.295002066,-0.850997829
8/29/2017,241,T,A,-0.231292389,0.206158883,-0.437451273
8/29/2017,241,T,B,-0.744567901,0.135292192,-0.879860094
8/29/2017,241,T,C,-0.394486277,0.112634572,-0.507120849
9/1/2017,244,H,A,0.53432398,0.658837868,-0.124513889
9/1/2017,244,H,B,0.264184322,0.342000281,-0.077815959
9/1/2017,244,H,C,0.202373311,0.436086546,-0.233713235
9/1/2017,244,So,A,0.201670918,0.259614692,-0.057943773
9/1/2017,244,So,B,0.117226027,0.266061994,-0.148835967
9/1/2017,244,So,C,0.051818772,0.427885221,-0.37606645
9/1/2017,244,Sh,A,0.241731272,0.489691177,-0.247959906
9/1/2017,244,Sh,B,0.220433362,0.794637908,-0.574204545
9/1/2017,244,Sh,C,-0.099035279,0.292583067,-0.391618346
9/1/2017,244,F,A,0.034960793,0.310371915,-0.275411122
9/1/2017,244,F,B,-0.373541667,0,-0.362929687
9/1/2017,244,F,C,-0.466958643,0.039232763,-0.506191406
9/1/2017,244,T,A,-0.44331675,0.319007143,-0.762323893
9/1/2017,244,T,B,-0.482058538,0.559330351,-1.041388889
9/1/2017,244,T,C,-0.626766542,0.527816792,-1.154583333
9/5/2017,248,H,A,0.799564394,0.226289134,0.57327526
9/5/2017,248,H,B,0.64348456,0.211050314,0.432434246
9/5/2017,248,H,C,0.768693182,0.22127093,0.547422252
9/5/2017,248,So,A,0.548184524,0.115750277,0.432434246
9/5/2017,248,So,B,0.548184524,0.29226224,0.255922284
9/5/2017,248,So,C,0.263830128,-0.276516106,0.540346235
9/5/2017,248,Sh,A,0.440113449,0.186739045,0.253374404
9/5/2017,248,Sh,B,0.316236979,0.096999983,0.219236996
9/5/2017,248,Sh,C,0.302012411,0.059073347,0.242939064
9/5/2017,248,F,A,0.396422683,0.506840262,-0.110417579
9/5/2017,248,F,B,-0.224633467,-0.024677617,-0.19995585
9/5/2017,248,F,C,-0.336829955,-0.195066222,-0.141763733
9/5/2017,248,T,A,-0.796772231,-0.877253594,0.080481362
9/5/2017,248,T,B,-0.548714331,-0.22881189,-0.319902441
9/5/2017,248,T,C,-0.389495772,0.161748222,-0.551243994
9/8/2017,251,H,A,0.487626404,1.123424597,-0.635798193
9/8/2017,251,H,B,0.69366573,0.787325005,-0.093659274
9/8/2017,251,H,C,0.418946629,0.611194613,-0.192247984
9/8/2017,251,So,A,0.55630618,0.897526059,-0.34121988
9/8/2017,251,So,B,0.590646067,0.983592496,-0.392946429
9/8/2017,251,So,C,0.521966292,0.819135264,-0.297168972
9/8/2017,251,Sh,A,0.453286517,0.896081792,-0.442795276
9/8/2017,251,Sh,B,0.10988764,0.434614203,-0.324726562
9/8/2017,251,Sh,C,0.418946629,0.673435929,-0.2544893
9/8/2017,251,F,A,-0.096151685,0.468079084,-0.564230769
9/8/2017,251,F,B,-0.267851124,0.156757655,-0.424608779
9/8/2017,251,F,C,-0.507648305,0.010281084,-0.517929389
9/8/2017,251,T,A,-0.291960661,1.054092007,-1.346052669
9/8/2017,251,T,B,-0.048838951,0.215423802,-0.264262753
9/8/2017,251,T,C,-0.564361215,0.262283257,-0.826644472
9/12/2017,255,H,A,0.37232343,0.227097367,0.145226064
9/12/2017,255,H,B,-0.002243943,0.029994981,-0.032238924
9/12/2017,255,H,C,-0.190735132,0,-0.109612342
9/12/2017,255,So,A,-0.104544214,0.134023824,-0.238568038
9/12/2017,255,So,B,-0.077852074,0.1062078,-0.184059874
9/12/2017,255,So,C,-0.022146739,0.056710478,-0.078857218
9/12/2017,255,Sh,A,-0.019845779,0.110162066,-0.130007845
9/12/2017,255,Sh,B,-0.015303112,0.217005989,-0.2323091
9/12/2017,255,Sh,C,-0.041537017,0.399350588,-0.440887605
9/12/2017,255,F,A,-0.470688291,0.072930406,-0.543618697
9/12/2017,255,F,B,-0.238568038,0.361075949,-0.599643987
9/12/2017,255,F,C,-0.393314873,0.361075949,-0.754390823
9/12/2017,255,T,A,-0.375183093,0.297853529,-0.673036622
9/12/2017,255,T,B,-0.433036412,0.24000021,-0.673036622
9/12/2017,255,T,C,-0.47379278,0.34642913,-0.82022191
9/15/2017,258,H,A,-0.103900507,-0.115946874,0.012046367
9/15/2017,258,H,B,0.055556015,0.214243739,-0.158687725
9/15/2017,258,H,C,0.136664852,0.443235641,-0.306570789
9/15/2017,258,So,A,0.086922641,0.218587557,-0.131664916
9/15/2017,258,So,B,0.116059021,0.44096731,-0.324908289
9/15/2017,258,So,C,0.273659344,0.451867633,-0.178208289
9/15/2017,258,Sh,A,-0.061625466,0.354097109,-0.415722575
9/15/2017,258,Sh,B,0.454197319,0.718654427,-0.264457108
9/15/2017,258,Sh,C,-0.035834327,0.252687742,-0.288522069
9/15/2017,258,F,A,-0.629030529,-0.023478762,-0.605551767
9/15/2017,258,F,B,-0.551657111,0.150534972,-0.702192084
9/15/2017,258,F,C,-0.555919206,0.117642232,-0.673561439
9/15/2017,258,T,A,-0.691926123,-0.261039944,-0.430886179
9/15/2017,258,T,B,-0.567628422,0.089646646,-0.657275068
9/15/2017,258,T,C,-0.314109222,0.410146538,-0.72425576
