Substrate,Rep,8/15/2017,8/18/2017,8/22/2017,8/25/2017,8/29/2017,9/1/2017,9/5/2017,9/9/2017,9/12/2017,9/18/2017
H,A,0.0220,0.1604,0.2960,0.6284,3.2633,1.3110,2.6517,5.0113,0.6950,0.0823
H,B,0.0554,0.0832,0.3010,0.6842,2.9130,2.0887,1.6957,,0.7100,0.1590
H,C,0.0269,0.2372,0.2960,0.6831,3.7740,1.8877,1.2057,8.6380,0.3850,0.0777
So,A,0.0175,0.1209,0.1852,0.3704,2.8020,0.9377,2.2183,2.9330,0.4907,0.0730
So,B,0.0288,0.1489,0.2436,0.4651,2.0227,0.8960,0.8297,3.3833,0.4617,0.0597
So,C,0.0288,0.1813,0.3010,0.3538,2.9130,2.0920,1.7850,8.2723,0.5290,0.1037
Sh,A,0.0435,0.1327,0.1464,0.3007,1.7677,1.8547,1.8640,5.0920,0.7713,0.0837
Sh,B,0.0343,0.1838,0.1499,0.3396,2.0800,3.0233,1.3550,1.4510,0.2967,0.0943
Sh,C,0.0277,0.1658,0.3010,0.2439,2.8810,1.8457,1.6247,3.6853,0.3750,0.0827
F,A,0.0176,0.1074,0.2960,1.0443,3.8300,1.9143,2.8430,5.0170,0.1147,0.1330
F,B,0.1234,0.1922,0.3010,0.6190,3.9273,1.1507,1.8983,6.5633,0.5180,0.1627
F,C,0.0253,0.2914,0.2737,0.8593,3.3650,2.1833,3.1657,8.1690,1.4010,0.2983
T,A,0.2799,0.2737,0.2872,1.5087,2.6013,2.1590,3.6893,1.4853,1.1377,0.1643
T,B,0.0250,0.3068,0.2135,0.4574,1.6537,2.6530,5.9443,5.4720,0.4603,0.2027
T,C,0.0765,0.3068,0.3010,1.9310,,1.4220,3.0880,7.8590,0.1343,0.4197
